Letra;Código de actividad;Descripción;2004_1;2004_2;2004_3;2004_4;2005_1;2005_2;2005_3;2005_4;2006_1;2006_2;2006_3;2006_4;2007_1;2007_2;2007_3;2007_4;2008_1;2008_2;2008_3;2008_4;2009_1;2009_2;2009_3;2009_4;2010_1;2010_2;2010_3;2010_4;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4;2021_1;2021_2;2021_3;2021_4;2022_1;2022_2;2022_3;2022_4;2023_1;2023_2;2023_3;2023_4;2024_1;2024_2;2024_3;2024_4
PBG;;Producto Bruto Geográfico;5.019.148,70;5.154.953,80;5.104.783,40;6.265.112,50;5.560.048,70;5.948.209,30;5.902.442,60;7.115.199,00;6.333.537,90;6.609.787,10;6.664.931,40;8.136.353,50;6.911.174,60;7.131.219,40;7.219.649,50;8.808.214,20;7.217.576,20;7.467.565,00;7.492.864,90;8.560.453,10;7.229.559,40;7.586.963,70;7.701.738,40;8.973.188,30;7.518.520,50;8.004.903,20;8.085.614,30;9.270.367,10;8.223.852,50;8.872.073,60;8.847.350,10;10.069.943,50;8.576.469,10;9.031.897,70;8.961.228,60;10.271.946,80;8.836.673,20;9.348.523,90;9.432.823,60;10.739.403,80;8.911.499,10;9.409.843,70;9.415.221,60;10.618.420,90;9.070.914,20;9.970.391,60;10.004.453,00;10.984.124,50;9.109.333,20;9.845.964,80;9.846.158,70;10.946.946,70;9.515.872,10;10.088.548,20;10.373.075,30;11.687.103,30;9.928.735,80;10.849.643,40;10.602.194,70;11.361.060,00;9.699.748,50;10.838.335,90;10.956.521,70;11.804.795,50;9.349.370,10;9.624.983,10;10.230.181,30;11.349.618,50;9.319.505,60;10.152.700,30;10.546.634,40;11.869.998,50;10.231.594,00;11.021.967,50;11.197.857,80;11.977.874,30;10.251.955,50;11.108.629,20;11.171.425,20;11.835.722,10;9.457.345,80;10.505.691,30;10.985.459,80;12.203.108,60
A;;Agricultura, ganadería y silvicultura;655.715,40;806.784,50;554.538,00;1.446.270,30;659.656,30;851.067,70;645.366,10;1.520.352,90;798.376,70;991.645,40;729.401,10;1.870.784,30;838.649,30;980.234,60;792.934,60;2.085.608,70;764.595,00;1.006.154,80;759.568,10;1.724.113,60;808.273,60;1.116.862,40;904.350,60;1.939.846,70;780.300,20;1.191.677,30;1.043.964,70;1.829.126,80;921.643,70;1.379.704,40;1.069.576,00;2.002.388,00;854.754,40;1.295.238,30;997.805,20;1.989.786,50;887.209,70;1.262.196,60;986.084,30;2.012.520,80;933.786,70;1.508.082,60;1.213.668,20;2.059.775,80;979.379,00;1.696.939,10;1.422.511,10;2.220.889,10;938.756,90;1.687.884,00;1.481.573,40;2.181.028,60;942.197,80;1.615.717,60;1.398.218,80;2.173.214,90;1.074.175,20;2.043.916,20;1.768.296,90;2.437.107,10;1.175.108,40;2.349.826,50;2.143.059,30;2.808.782,00;1.143.357,10;2.311.267,20;2.099.134,90;2.705.527,20;969.018,70;1.652.922,60;1.370.882,80;2.122.242,90;1.036.255,20;1.923.501,00;1.717.107,70;2.502.529,40;901.818,00;1.675.438,30;1.579.128,30;2.238.261,00;990.674,50;1.712.765,40;1.566.948,90;2.293.303,90
A;011.1;Cultivo de cereales, oleaginosas y forrajeras;205.750,20;335.835,60;3.975,10;33,9;192.180,80;312.343,20;6.258,80;35,9;236.418,70;381.530,50;8.606,70;41,3;206.461,60;326.216,00;11.309,60;146,4;237.509,20;379.342,40;9.995,50;0;216.549,10;353.171,00;4.370,40;0;182.181,50;290.193,40;7.336,10;0;298.363,10;478.276,70;7.514,40;0;278.389,80;446.696,70;7.020,10;0;277.098,90;438.671,60;8.627,50;0;286.052,30;453.556,30;9.020,40;0;281.746,10;447.260,70;9.110,90;0;246.169,30;382.911,50;10.529,90;0;264.232,30;407.551,80;12.664,20;0;295.212,60;456.717,20;12.222,90;0;269.739,90;409.558,00;13.311,10;0;269.952,60;421.310,20;12.834,60;0;305.693,40;491.104,00;7.856,20;0;261.031,70;421.258,00;5.876,60;0;196.956,50;310.850,60;8.441,80;0;234.510,00;370.120,10;10.051,40;0
A;011.2;Cultivo de hortalizas, legumbres, flores y plantas ornamentales;14.418,20;35.211,00;69.052,70;83.193,40;23.355,50;44.140,40;93.760,20;123.695,30;28.973,10;53.061,00;99.521,10;132.709,40;33.805,20;59.142,60;113.627,90;144.723,10;30.163,50;53.358,00;105.975,90;136.341,70;25.923,60;50.231,20;109.350,10;134.912,20;37.323,20;67.908,70;134.677,00;176.917,00;36.598,90;69.400,80;140.536,20;184.954,80;33.487,10;64.864,00;137.551,10;180.101,80;29.947,80;66.810,20;129.072,90;167.978,20;25.203,70;62.436,40;129.406,30;166.066,00;27.731,80;69.085,40;139.154,00;181.865,70;30.520,50;77.466,20;150.578,40;199.340,40;31.393,60;86.896,20;170.445,10;217.772,70;34.250,80;90.828,90;166.642,00;212.210,00;35.747,40;97.681,00;175.749,20;227.921,60;26.792,20;84.221,90;176.471,80;225.454,00;25.113,50;79.607,30;176.761,00;217.944,80;22.714,60;74.508,40;175.378,20;212.571,60;19.918,40;73.780,70;180.859,60;221.665,70;18.955,70;69.606,80;168.603,00;211.813,90
A;011.3;Cultivo de frutas - excepto vid para vinificar - y nueces;55.630,30;42.292,50;61.950,80;71.070,00;52.028,60;39.769,00;64.090,80;70.255,40;51.120,20;41.275,00;64.052,20;70.601,30;66.041,70;52.023,20;76.181,40;85.535,80;60.152,80;54.521,40;79.253,90;79.457,30;68.532,10;67.172,00;90.211,90;82.537,20;86.987,90;78.960,50;114.444,40;106.323,40;87.502,80;80.324,50;118.266,20;110.361,40;24.349,70;17.669,00;34.358,20;35.855,70;79.982,60;74.039,50;105.277,10;97.957,80;85.639,90;79.994,40;113.461,20;104.678,80;88.394,90;83.147,40;120.050,10;110.592,90;95.147,40;87.550,20;129.576,10;121.030,00;89.720,80;81.302,70;123.879,90;116.764,30;86.977,70;78.213,70;122.252,40;115.761,10;104.225,80;92.926,70;147.671,70;139.099,50;99.666,20;90.267,90;146.707,80;135.154,70;93.978,70;84.503,80;139.679,60;127.848,60;85.202,80;77.223,50;127.438,00;116.088,90;94.264,50;84.856,70;139.159,20;126.298,90;127.741,30;114.992,50;188.579,80;171.152,40
A;011.4;Cultivos industriales, de especias y de plantas aromáticas y medicinales;47.996,60;49.403,50;16.119,50;5.139,10;46.063,90;47.796,00;15.604,60;5.047,00;51.540,30;53.294,90;18.848,10;5.963,40;56.419,40;58.131,80;21.343,50;6.500,10;42.033,10;41.711,10;21.113,10;6.392,80;40.320,10;39.633,70;21.042,00;6.424,60;48.219,20;47.715,90;22.530,90;6.973,10;34.968,30;34.632,20;19.168,00;5.943,50;37.766,30;37.381,00;19.884,70;6.194,40;33.473,50;32.952,70;21.158,20;6.552,20;38.704,90;37.919,90;22.797,00;7.121,30;32.475,50;31.367,90;23.683,10;7.571,50;28.977,40;27.749,50;20.151,90;6.868,90;34.351,70;33.083,80;22.502,50;7.433,60;36.012,90;34.803,50;22.843,70;7.564,30;34.237,90;32.928,30;23.993,00;7.829,70;42.528,40;41.122,70;26.961,30;8.524,00;41.226,80;39.860,00;28.421,20;8.730,00;37.417,40;35.970,00;26.171,40;8.337,60;40.960,30;39.603,80;26.536,40;8.376,80;62.832,60;60.751,70;40.706,60;12.849,90
A;12;Cría de animales;272.765,20;127.140,50;186.538,50;1.122.514,70;269.250,10;125.502,00;184.134,60;1.108.048,70;348.493,90;162.438,90;238.327,80;1.434.162,00;393.783,50;183.549,10;269.300,40;1.620.542,80;303.118,20;141.288,50;207.296,30;1.247.426,90;333.950,20;155.659,80;228.381,70;1.374.310,30;266.701,70;124.314,20;182.391,80;1.097.561,30;307.770,60;143.457,10;210.477,90;1.266.572,80;323.120,90;150.612,10;220.975,70;1.329.744,10;331.672,90;154.598,40;226.824,30;1.364.938,50;297.606,90;138.719,60;203.527,20;1.224.746,00;295.897,50;137.922,80;202.358,20;1.217.711,40;268.781,50;125.283,60;183.814,10;1.106.120,30;283.997,50;132.376,00;194.220,00;1.168.738,90;280.043,10;130.532,80;191.515,70;1.152.465,60;301.253,90;140.419,50;206.021,30;1.239.754,70;283.863,90;132.313,80;194.128,70;1.168.189,40;276.986,50;129.108,10;189.425,30;1.139.886,50;310.900,00;144.915,80;212.618,10;1.279.451,50;265.356,70;123.687,20;181.472,00;1.092.026,20;283.399,40;132.097,30;193.811,00;1.166.277,80
A;20;Silvicultura;59.154,90;216.901,40;216.901,40;164.319,30;76.777,40;281.517,10;281.517,10;213.270,50;81.830,50;300.045,20;300.045,20;227.307,00;82.137,80;301.171,90;301.171,90;228.160,50;91.618,20;335.933,40;335.933,40;254.495,00;122.998,50;450.994,60;450.994,60;341.662,60;158.886,70;582.584,60;582.584,60;441.351,90;156.440,00;573.613,20;573.613,20;434.555,50;157.640,60;578.015,50;578.015,50;437.890,50;135.033,90;495.124,20;495.124,20;375.094,10;200.578,90;735.456,00;735.456,00;557.163,70;253.133,10;928.154,80;928.154,80;703.147,60;269.160,80;986.923,10;986.923,10;747.669,00;238.501,90;874.507,10;874.507,10;662.505,40;341.678,20;1.252.820,10;1.252.820,10;949.106,20;429.903,50;1.576.312,90;1.576.312,90;1.194.176,50;420.553,80;1.542.030,70;1.542.030,70;1.168.205,00;226.019,80;828.739,40;828.739,40;627.832,90;318.988,70;1.169.625,40;1.169.625,40;886.079,80;284.361,60;1.042.659,30;1.042.659,30;789.893,40;263.235,60;965.197,00;965.197,00;731.209,90
B;;Pesca;3.464,20;3.069,50;3.835,40;3.343,10;1.865,40;1.652,80;2.065,30;1.800,10;2.823,90;2.502,10;3.126,40;2.725,10;1.186,20;1.051,00;1.313,30;1.144,70;120,8;107;133,7;116,6;707,9;627,3;783,8;683,2;409,6;362,9;453,5;395,3;683,2;605,4;756,4;659,3;1.287,00;1.140,30;1.424,90;1.242,00;1.238,50;1.097,40;1.371,20;1.195,20;706,3;625,8;782;681,6;1.546,10;1.369,90;1.711,80;1.492,00;462,8;410,1;512,4;446,6;2.120,10;1.878,50;2.347,30;2.045,90;3.089,10;2.737,00;3.420,00;2.981,00;850,4;753,5;941,5;820,6;238,7;211,5;264,3;230,4;842;746,1;932,2;812,6;336,5;298,2;372,5;324,7;328,3;290,9;363,5;316,8;290,3;257,3;321,5;280,2
C;;Explotación de minas y canteras;11.239,60;10.409,50;11.021,60;11.232,10;13.829,60;14.911,90;16.178,90;16.130,50;15.729,20;14.846,80;15.547,50;15.013,80;15.470,30;16.421,00;16.000,60;16.878,80;18.957,80;19.398,60;20.029,20;18.041,30;16.530,80;16.247,80;18.642,70;19.241,60;21.452,90;23.022,50;24.235,80;23.459,40;23.151,90;22.810,50;23.532,80;23.227,40;24.096,40;24.969,70;26.734,90;26.907,80;28.319,00;30.051,80;30.530,90;28.415,60;26.369,90;25.354,20;25.114,10;24.799,30;25.892,70;26.677,70;27.654,50;25.326,80;22.894,70;21.657,50;22.147,60;21.758,70;23.587,40;23.989,80;25.879,40;24.499,90;23.218,90;21.493,80;21.024,10;18.641,50;19.046,50;19.369,10;20.894,00;20.070,40;20.550,70;18.680,50;22.793,10;22.678,20;21.663,00;20.493,20;22.022,30;22.043,30;23.993,00;24.138,00;25.786,00;25.346,70;21.901,30;20.463,00;20.619,00;20.040,70;23.711,70;21.822,10;22.047,20;21.636,80
D;;Industria manufacturera;547.257,70;543.092,80;585.931,70;621.575,30;617.487,00;642.229,70;610.142,70;688.623,80;646.621,10;691.892,10;709.241,10;748.179,10;704.100,20;719.049,70;755.350,20;751.618,50;742.606,70;765.530,90;781.815,20;765.515,40;738.057,00;763.506,10;839.488,00;856.517,10;761.246,00;753.609,50;779.640,20;791.619,60;731.270,70;769.028,40;848.341,90;880.765,80;773.856,00;840.928,50;912.420,90;909.554,70;801.146,00;850.984,40;926.119,50;984.353,00;826.106,80;846.346,70;915.831,00;916.141,60;813.913,30;898.514,80;902.262,30;915.265,90;791.244,40;817.267,00;842.092,00;838.699,90;801.115,80;799.997,30;889.394,60;925.996,50;753.570,30;762.268,90;794.893,20;796.916,80;820.011,70;827.812,00;889.405,10;894.744,00;761.441,70;713.249,50;826.709,90;916.465,10;928.195,40;896.776,40;949.329,20;977.488,70;916.624,60;881.820,40;1.019.159,00;909.508,60;912.846,10;922.923,00;951.988,30;882.867,60;809.653,40;817.024,30;885.850,90;921.828,30
D;15;Elaboración de productos alimenticios y bebidas;213.832,00;193.779,40;211.106,40;246.326,20;253.917,40;250.035,20;232.963,50;300.760,40;263.717,90;281.143,40;274.698,60;332.925,80;306.710,90;287.834,00;312.748,70;302.817,60;320.367,70;326.584,70;359.632,20;371.835,30;377.747,00;391.347,80;432.681,40;440.600,70;368.877,50;335.794,10;341.873,70;353.058,50;313.649,10;327.643,70;403.434,00;439.203,50;367.858,20;394.091,80;453.878,40;457.737,50;391.469,90;397.311,80;462.747,80;526.875,30;414.000,70;412.047,10;459.853,30;465.474,50;403.879,60;445.749,70;439.960,80;447.642,10;381.355,20;396.259,10;423.293,70;401.932,20;385.194,00;381.625,20;451.026,50;464.960,00;329.316,80;345.497,40;395.801,20;386.786,80;431.931,90;443.924,20;510.195,60;524.917,20;450.418,10;438.597,00;482.169,40;553.917,90;574.913,80;509.133,20;534.255,90;579.178,30;541.250,60;474.608,10;572.672,40;505.535,10;517.488,50;493.137,20;511.325,80;475.421,70;458.800,80;413.176,20;465.630,70;510.828,40
D;16;Elaboración de productos de tabaco;53.361,40;50.223,20;54.402,30;55.063,50;56.999,70;56.062,80;52.384,80;50.064,90;48.349,70;49.483,20;51.556,60;54.565,20;53.027,80;53.972,10;58.772,90;60.520,50;55.801,00;49.222,60;53.687,10;62.200,70;57.436,10;50.489,70;56.051,80;63.558,00;50.991,10;51.415,20;54.200,60;57.443,40;48.945,00;50.254,50;50.743,50;55.475,20;52.473,90;52.029,00;55.069,00;56.639,40;52.062,80;50.067,40;51.239,60;56.167,50;51.745,70;54.584,90;56.320,40;62.405,00;59.186,90;55.419,10;57.953,00;63.263,90;55.290,40;44.493,70;42.548,40;69.491,50;62.251,10;48.354,40;44.560,50;70.814,30;65.591,10;51.582,50;39.749,10;74.097,20;68.473,30;42.475,10;32.589,70;28.168,70;5.256,20;5.333,50;5.449,30;5.117,00;5.396,00;5.789,80;6.151,50;5.475,50;5.448,10;6.847,30;6.206,70;4.916,50;5.113,30;5.121,30;3.951,10;3.077,50;5.113,30;5.121,30;3.951,10;3.077,50
D;17;Fabricación de productos textiles;86.911,60;95.255,10;104.905,00;100.953,10;96.437,40;110.786,10;91.420,60;93.047,10;92.071,30;103.984,70;111.269,90;92.213,90;92.017,50;107.973,00;105.186,70;99.990,30;97.748,00;103.606,70;90.824,90;72.888,50;73.036,50;81.347,70;95.649,30;94.366,40;97.328,90;109.115,70;112.567,20;103.725,60;111.005,70;104.358,70;98.352,00;96.823,00;90.008,30;118.030,60;118.860,20;112.177,40;103.573,30;120.483,00;114.339,00;109.590,70;105.456,60;112.458,10;115.626,30;100.943,80;94.379,10;104.549,70;105.651,10;111.001,30;95.212,00;103.293,20;95.792,90;88.865,00;92.299,00;96.022,60;98.034,10;94.751,00;96.417,80;93.023,70;83.620,60;77.522,20;79.278,30;91.849,50;86.133,70;92.632,30;84.669,50;66.732,60;88.997,10;96.150,30;99.295,40;103.096,90;102.989,80;98.025,30;97.791,80;106.467,30;110.745,40;101.913,40;105.221,90;113.234,70;116.147,30;105.214,00;95.539,60;88.339,30;95.864,40;92.586,70
D;18;"Fabricación de prendas de vestir; terminación y teñido de pieles";15.095,00;16.227,20;16.276,40;18.015,60;17.359,30;20.558,80;20.526,00;21.822,20;19.016,50;21.526,80;20.017,30;21.330,00;19.459,50;21.707,30;20.854,10;23.758,30;20.952,60;24.217,70;23.118,40;20.476,80;18.442,20;22.117,50;23.019,90;22.708,20;20.690,10;25.349,80;25.481,10;24.906,80;22.659,00;29.041,50;29.238,40;25.579,50;22.019,10;25.760,00;26.022,50;24.529,40;22.281,60;27.811,00;26.219,40;24.693,50;21.658,10;23.725,50;22.363,60;21.313,50;17.982,80;28.549,30;24.742,70;21.773,00;19.722,00;20.985,40;22.035,50;19.295,40;17.736,70;17.933,60;19.443,10;18.212,50;16.473,30;17.671,00;17.785,90;15.406,80;14.389,50;14.586,40;15.029,40;14.340,30;10.812,60;5.332,50;10.533,70;12.601,10;12.814,40;12.715,90;16.145,10;17.884,30;14.192,60;16.374,80;14.619,20;15.488,80;14.676,60;17.022,90;16.172,90;15.637,00;14.676,60;20.905,30;18.568,90;12.451,70
